,Aczino,Dante,Dominic,Garza,Jony Beltrán,Lancer Lirical,Lobo Estepario,Rapder,RC,Skiper,Yoiker,Zticma
Aczino,X,V,V,V,V,V,VR,V,V,DR,V,V
Dante,D,X,VR,V,VR,DR,DR,DR,D,VR,DR,D
Dominic,D,DR,X,DR,D,VR,D,D,DR,D,VR,D
Garza,D,D,VR,X,DR,DR,DR,VR,DR,VR,DR,DR
Jony Beltrán,D,DR,V,VR,X,D,D,DR,D,D,DR,VR
Lancer Lirical,D,VR,DR,VR,V,X,D,D,DR,D,DR,DR
Lobo Estepario,DR,VR,V,VR,V,V,X,VR,V,VR,V,V
Rapder,D,VR,V,DR,VR,V,DR,X,VR,D,V,V
RC,D,V,VR,VR,V,VR,D,DR,X,D,DR,V
Skiper,VR,DR,V,DR,V,V,DR,V,V,X,VR,DR
Yoiker,D,VR,DR,VR,VR,VR,D,D,VR,DR,X,V
Zticma,D,V,V,VR,DR,VR,D,D,D,VR,D,X
