,Black Code,Diego MC,Ghost,Jair Wong,Jaze,Jota,Kian,Nekroos,Skill,Stick,Strike,Vijay Kesh
Black Code,X,VR,DR,V,VR,DR,D,DR,V,DR,V,VR
Diego MC,DR,X,V,D,D,DR,DR,D,DR,DR,V,VR
Ghost,VR,D,X,VR,D,D,DR,D,DR,DR,V,V
Jair Wong,D,V,DR,X,D,DR,V,DR,DR,D,DR,VR
Jaze,DR,V,V,V,X,DR,DR,V,VR,DR,V,DR
Jota,VR,VR,V,VR,VR,X,V,D,VR,D,V,D
Kian,V,VR,VR,D,VR,D,X,DR,DR,VR,D,VR
Nekroos,VR,V,V,VR,D,V,VR,X,V,DR,VR,DR
Skill,D,VR,VR,VR,DR,DR,VR,D,X,VR,DR,V
Stick,VR,VR,VR,V,VR,V,DR,VR,DR,X,V,D
Strike,D,D,D,VR,D,D,V,DR,VR,D,X,
Vijay Kesh,DR,DR,D,DR,VR,V,DR,VR,D,V,,X
